Name,Team,Pos,JNo,Wgt,Agl,Spd,OfA,DfA,ShP,ChK,H/F,StH,ShA,End,Rgh,Pas,Agr
Guy Hebert,ANH,F,20,10,3,3,3,3,3,3,8,6,3,3,5,2,2
Mikhail Shtalenkov,ANH,F,47,5,3,3,4,3,3,2,6,6,4,4,2,3,1
Bob Corkum,ANH,F,19,7,3,4,3,4,3,2,7,6,3,4,0,3,2
Stephan Lebeau,ANH,F,22,9,2,2,2,2,2,3,11,6,2,3,1,2,2
Anatoli Semenov,ANH,F,14,8,3,3,3,2,3,3,11,6,3,3,3,2,2
Shaun VanAllen,ANH,F,25,6,3,4,4,2,3,3,10,6,4,4,2,3,2
Joe Sacco,ANH,F,16,8,3,3,2,3,3,2,8,3,2,2,4,2,1
Terry Yake,ANH,F,36,11,1,1,2,1,2,3,8,5,2,2,3,1,5
Peter Douris,ANH,F,17,7,2,2,3,2,2,2,6,6,3,3,4,2,2
Todd Ewen,ANH,F,24,10,2,3,2,3,2,4,9,7,1,3,2,1,2
Steven King,ANH,F,18,7,2,2,2,3,3,3,9,7,3,3,3,2,3
Troy Loney,ANH,F,32,11,1,1,0,2,1,2,11,2,1,2,5,1,5
Garry Valk,ANH,F,8,7,3,2,3,3,3,1,11,6,3,3,4,2,1
Stu Grimson,ANH,F,21,7,2,2,3,2,2,0,7,6,2,2,3,2,2
Tim Sweeney,ANH,D,4,8,2,2,2,2,2,2,8,3,2,2,4,2,3
Patrik Carnback,ANH,D,6,8,3,3,2,2,2,2,6,6,2,3,3,2,4
David Williams,ANH,D,2,10,3,2,2,4,3,3,9,6,2,3,2,2,2
Sean Hill,ANH,D,39,8,2,1,2,2,3,2,7,6,2,2,2,2,2
Bobby Dollas,ANH,D,23,11,1,2,2,2,3,2,11,6,3,3,4,2,2
Don McSween,ANH,D,3,8,2,1,2,2,2,2,7,3,2,2,3,2,2
Bill Houlder,ANH,D,29,11,3,2,1,4,1,3,9,7,1,4,5,1,4
Mark Ferner,BOS,F,12,7,5,4,6,5,3,3,10,5,4,5,0,6,1
Randy Ladouceur,BOS,F,22,5,2,2,2,2,2,1,8,6,3,3,2,3,1
Jon Casey,BOS,F,45,8,2,2,2,2,1,1,8,3,2,2,3,2,1
Vincent Riendeau,BOS,F,20,0,4,4,4,3,3,2,10,9,3,3,4,3,3
Adam Oates,BOS,F,33,7,3,3,2,1,3,1,4,6,3,2,4,2,3
Jozef Stumpel,BOS,F,8,10,3,3,5,4,5,4,0,4,5,5,4,4,4
Andrew McKim,BOS,F,27,6,3,2,3,3,4,3,4,7,3,4,4,3,3
