Name,Team,Pos,JNo,Wgt,Agl,Spd,OfA,DfA,ShP,ChK,H/F,StH,ShA,End,Rgh,Pas,Agr
Andy Moog,BRW,G,35,4,5,5,3,4,5,0,1,0,0,5,4,4,5
Bill Ranford,BRW,G,30,4,2,3,3,4,2,0,1,0,0,4,3,4,4
Chris Terreri,BNX,G,30,2,2,3,4,2,3,0,1,0,0,2,1,2,3
Glen Hanlon,BNX,G,1,6,4,4,2,4,5,0,0,0,0,4,4,5,3
Daniel Berthiaume,BRM,G,30,4,5,4,4,3,5,0,1,0,0,4,5,3,5
Sean Burke,BRM,G,1,10,4,3,2,2,4,0,1,0,0,4,4,5,4
Clint Malarchuk,COR,G,30,5,5,5,4,4,5,0,1,0,0,3,4,3,5
Jacques Cloutier,COR,G,1,3,2,4,2,3,4,0,1,0,0,3,4,2,3
Mike Vernon,COW,G,30,5,5,6,5,6,5,0,1,0,0,5,5,5,5
Don Beaupre,COW,G,33,4,3,4,3,4,4,0,1,0,0,2,5,3,4
Grant Fuhr,DCS,G,31,6,5,6,6,5,6,0,0,0,0,5,5,6,5
Jon Casey,DCS,G,30,2,2,3,4,2,3,0,1,0,0,2,2,3,4
Bob Mason,DWB,G,31,5,4,5,5,4,3,0,0,0,0,4,5,3,4
Peter Sidorkiewicz,DWB,G,30,6,2,3,1,3,2,0,1,0,0,2,2,2,2
Brian Hayward,ETI,G,1,6,4,5,4,4,5,0,1,0,0,5,4,3,4
Vincent Riendeau,ETI,G,40,6,3,3,2,2,2,0,1,0,0,1,2,2,3
Glenn Healy,GRA,G,35,5,4,4,4,4,3,0,1,0,0,4,3,3,5
Greg Millen,GRA,G,29,4,4,4,4,4,5,0,0,0,0,4,4,3,4
Mike Liut,HFX,G,1,6,4,5,5,5,5,0,1,0,0,3,5,3,4
Allan Bester,HFX,G,30,4,4,5,4,3,4,0,1,0,0,3,3,2,4
Ron Hextall,HSW,G,27,6,4,5,5,5,5,0,1,0,0,5,5,4,6
Daren Puppa,HSW,G,31,9,4,3,3,3,4,0,0,0,0,3,2,3,3
Rejean Lemelin,NCJ,G,1,3,5,5,5,4,4,0,1,0,0,5,4,4,5
Kelly Hrudey,NCJ,G,30,6,5,4,4,3,5,0,1,0,0,4,3,5,5
Tom Barrasso,NIU,G,30,9,5,6,5,4,5,0,0,0,0,3,4,5,3
Billy Smith,NIU,G,31,4,4,4,5,5,3,0,1,0,0,3,4,4,5
Ken Wregget,PHI,G,31,8,4,3,5,4,3,0,1,0,0,4,5,2,4
John Vanbiesbrouck,PHI,G,34,5,4,5,5,4,6,0,1,0,0,4,3,4,5
Bob Janecyk,SBT,G,1,5,2,4,2,3,2,0,1,0,0,3,3,4,2
Wendell Young,SBT,G,1,6,3,3,2,3,3,0,1,0,0,3,2,3,3
Patrick Roy,QQB,G,33,6,4,5,4,4,5,0,1,0,0,3,5,4,5
Darren Pang,QQB,G,40,2,4,4,4,4,4,0,1,0,0,4,3,4,5
Roland Melanson,THC,G,31,5,4,5,4,4,4,0,1,0,0,3,5,4,3
Doug Dadswell,THC,G,36,6,3,4,5,3,5,0,1,0,0,3,2,4,3
Kirk McLean,VFM,G,1,8,3,4,3,4,4,0,1,0,0,4,4,3,3
Steve Weeks,VFM,G,31,3,3,4,3,4,4,0,1,0,0,4,4,2,3
