Name,Team,Pos,JNo,Wgt,Agl,Spd,OfA,DfA,ShP,ChK,H/F,StH,ShA,End,Rgh,Pas,Agr
Aaron Broten,BRW,F,10,4,5,4,4,4,3,2,1,9,4,3,2,4,2
Ulf Dahlen,BRW,F,9,8,3,4,4,3,3,2,1,9,4,4,3,3,0
Kelly Kisio,BRW,F,11,6,3,5,3,5,3,3,0,12,4,3,0,3,3
Bernie Federko,BRW,F,24,7,4,4,4,2,4,3,1,15,3,3,0,5,1
Bobby Smith,BRW,F,15,9,4,4,5,3,4,3,1,9,4,3,3,4,3
Peter Zezel,BRW,F,25,9,3,4,4,3,3,3,1,9,3,4,1,4,1
Kevin Hatcher,BRW,D,4,12,2,3,4,5,5,4,0,6,3,5,4,4,3
Dave Babych,BRW,D,44,10,4,3,3,5,4,4,1,9,4,4,2,3,4
Moe Mantha,BRW,D,21,7,5,4,3,4,3,3,0,6,4,3,0,3,0
Dave Ellett,BRW,D,2,9,4,4,3,5,5,4,1,12,2,3,2,3,2
Mike Gartner,BNX,F,11,7,4,5,3,3,3,2,0,12,4,4,4,4,2
Brent Sutter,BNX,F,21,6,3,3,4,4,3,4,0,12,2,3,1,4,3
Steve Larmer,BNX,F,28,6,4,3,3,4,4,4,1,12,4,4,3,5,3
Craig MacTavish,BNX,F,14,7,3,3,3,2,3,4,1,12,2,4,2,4,3
Derek King,BNX,F,27,9,3,2,4,3,4,1,1,12,5,4,2,2,2
Rick Tocchet,BNX,F,22,9,3,2,4,4,4,3,0,12,4,4,1,4,4
Reed Larson,BNX,D,28,7,4,4,2,5,3,3,0,6,4,5,2,4,2
Tomas Jonsson,BNX,D,3,4,3,4,3,5,2,4,1,9,4,2,2,4,0
Grant Ledyard,BNX,D,2,9,3,4,2,4,4,4,1,9,4,1,3,2,3
Zarley Zalapski,BNX,D,33,10,3,4,3,5,4,2,1,9,2,3,3,2,4
Mark Hunter,BRM,F,20,7,4,3,4,3,4,4,0,9,3,4,4,3,4
Pelle Eklund,BRM,F,9,5,3,4,4,3,3,3,1,6,3,4,0,4,1
Gerard Gallant,BRM,F,17,6,4,2,4,4,3,4,1,12,3,4,1,4,4
Mike Foligno,BRM,F,17,8,3,4,4,3,3,3,0,9,3,4,5,4,3
Doug Gilmour,BRM,F,9,4,4,4,4,3,4,3,1,12,4,3,2,3,3
Luc Robitaille,BRM,F,20,7,5,5,4,3,4,2,1,12,4,4,2,4,3
Jim Johnson,BRM,D,6,7,2,3,3,5,2,2,1,12,2,5,1,4,3
Tom Kurvers,BRM,D,5,8,3,3,4,4,4,2,1,12,3,4,1,3,2
Gary Nylund,BRM,D,22,8,4,2,3,4,4,5,1,9,2,4,0,3,5
Craig Wolanin,BRM,D,6,9,3,2,4,5,3,3,1,9,5,3,1,2,4
Michel Goulet,COR,F,16,6,5,4,4,4,3,2,1,15,4,3,3,3,2
Bernie Nicholls,COR,F,9,6,4,4,4,3,4,2,0,9,5,3,0,4,3
Mike Ridley,COR,F,17,9,3,4,4,3,4,2,1,9,4,4,0,4,2
Pat LaFontaine,COR,F,16,5,5,4,3,2,4,3,0,12,5,4,0,4,2
Peter Stastny,COR,F,26,7,4,5,4,3,4,2,1,12,5,4,0,4,1
Geoff Courtnall,COR,F,15,6,3,5,4,3,4,2,1,9,4,3,4,3,4
Chris Dahlquist,COR,D,55,8,4,4,2,4,4,2,1,9,3,3,5,2,3
Darren Veitch,COR,D,6,8,4,4,3,5,3,3,0,10,3,3,2,3,4
Sylvain Cote,COR,D,21,6,3,3,4,4,3,3,0,12,2,3,4,3,2
J.J. Daigneault,COR,D,48,6,4,3,2,4,4,3,1,12,2,4,4,2,2
Jari Kurri,COW,F,17,6,5,5,5,3,4,2,0,14,5,4,1,4,0
Adam Oates,COW,F,21,7,4,4,3,3,3,3,0,12,2,3,0,5,1
Dave Poulin,COW,F,20,7,4,3,3,4,3,4,1,9,3,3,1,4,2
Pierre Turgeon,COW,F,77,9,3,4,4,2,4,2,1,9,4,3,1,3,1
Dave Andreychuk,COW,F,25,10,4,3,3,4,4,4,0,12,3,4,4,4,2
Kirk Muller,COW,F,9,9,4,4,4,3,4,3,1,15,3,4,1,3,3
Al MacInnis,COW,D,2,9,5,4,4,5,6,4,0,12,4,2,4,4,0
Doug Bodger,COW,D,3,10,4,3,4,4,5,3,1,12,2,3,1,3,3
Rob Ramage,COW,D,55,9,4,3,2,5,4,4,0,12,4,5,5,2,4
Steve Chiasson,COW,D,3,9,4,3,4,4,4,3,1,12,1,3,2,3,4
Cliff Ronning,DCS,F,7,5,4,5,3,2,2,2,1,6,2,4,1,3,1
Rob Brown,DCS,F,44,6,4,3,4,3,3,3,1,12,2,2,0,2,4
