Name,Team,Pos,JNo,Wgt,Agl,Spd,OfA,DfA,ShP,ChK,H/F,StH,ShA,End,Rgh,Pas,Agr
Riley Hern,APP,G,1,3,4,2,0,6,5,0,0,0,0,5,5,5,5
Clarence Gorrie,APP,G,1,2,5,3,0,2,2,0,0,0,0,2,3,3,2
Fred Liddell,CAL,G,1,0,5,3,0,6,4,0,0,0,0,4,5,5,4
Dick Meade,CAL,G,1,2,3,2,0,3,4,0,0,0,0,3,3,3,3
Paddy Moran,GBB,G,1,5,2,2,0,1,4,0,0,0,0,3,3,3,3
Bill Baker,GBB,G,1,2,5,3,0,1,4,0,0,0,0,2,4,4,2
Bobby Mercer,MMA,G,1,2,3,2,0,4,4,0,0,0,0,3,4,4,3
Jim MacKay,MMA,G,1,2,2,2,0,2,5,0,0,0,0,3,3,3,3
Hugh Lehman,NNH,G,1,3,5,5,0,5,5,0,0,0,0,5,5,5,4
Henry Butte,NNH,G,1,2,6,4,0,2,2,0,0,0,0,2,4,4,2
Art Brooks,SOC,G,30,3,6,5,0,2,2,0,0,0,0,2,4,4,2
Jack Winchester,SOC,G,1,1,4,2,0,2,1,0,0,0,0,2,3,3,2
Percy LeSueur,WHE,G,1,1,5,2,0,5,5,0,0,0,0,5,5,5,4
Joe Donnelly,WHE,G,1,2,3,2,0,4,2,0,0,0,0,3,3,3,3
