Name,Team,Pos,JNo,Wgt,Agl,Spd,OfA,DfA,ShP,ChK,H/F,StH,ShA,End,Rgh,Pas,Agr
Jeff O'Neill,AHC,F,92,6,5,5,4,3,5,4,0,9,5,5,5,5,4
Bobby Holik,AHC,F,16,11,4,5,3,5,3,5,0,8,5,5,5,5,5
Patric Kjellberg,AHC,F,18,7,5,5,4,3,4,3,1,7,5,5,3,5,4
Mike Ricci,AHC,F,9,6,4,4,3,4,5,4,1,9,4,5,4,4,5
Jeff Shantz,AHC,F,11,6,5,5,3,3,3,4,0,7,4,4,4,4,4
Vincent Damphousse,AHC,F,25,7,3,4,5,3,3,4,1,9,5,4,4,4,5
Mattias Ohlund,AHC,D,2,10,5,5,3,4,5,5,1,9,5,5,4,5,5
Dmitri Kalinin,AHC,D,45,7,5,5,3,3,4,3,0,8,5,5,4,4,4
Andrew Ference,AHC,D,21,5,5,5,3,2,3,4,1,7,4,3,4,4,4
Jaroslav Modry,AHC,D,44,6,4,4,4,2,3,4,0,9,4,3,4,4,4
Olli Jokinen,AUT,F,3,8,5,5,5,3,3,4,1,8,4,4,4,4,4
Marian Gaborik,AUT,F,39,5,4,5,4,2,4,3,0,7,4,5,3,4,4
Anson Carter,AUT,F,22,6,5,5,3,3,5,4,0,8,5,5,5,5,4
Fredrik Modin,AUT,F,62,10,5,5,4,3,5,3,1,7,5,5,4,4,4
Kris Draper,AUT,F,51,6,5,5,3,6,3,4,1,7,4,4,3,4,5
Dean McAmmond,AUT,F,37,7,5,5,4,3,4,3,1,7,3,4,4,4,4
Sergei Gonchar,AUT,D,55,8,5,5,6,4,5,4,1,9,5,5,4,5,5
Chris Chelios,AUT,D,8,6,5,4,3,6,3,5,0,9,3,5,4,5,5
Tom Poti,AUT,D,40,9,5,4,4,3,4,3,1,8,5,5,4,5,4
Mike Mottau,AUT,D,68,6,4,5,1,3,4,3,0,9,5,4,3,4,3
Markus Naslund,BAY,F,19,6,5,5,6,3,5,4,1,9,5,5,4,5,4
Michael Peca,BAY,F,27,5,4,3,4,5,4,5,0,9,5,5,4,4,5
Andrew Brunette,BAY,F,15,8,4,4,4,4,5,3,1,9,4,5,3,5,4
Greg Johnson,BAY,F,22,6,5,5,3,3,5,3,1,7,5,5,3,4,5
Viktor Kozlov,BAY,F,26,11,4,4,4,3,3,4,0,8,5,5,3,5,4
Mark Parrish,BAY,F,37,6,5,5,4,2,3,3,0,9,4,4,3,4,4
