Name,Team,Pos,JNo,Wgt,Agl,Spd,OfA,DfA,ShP,ChK,H/F,StH,ShA,End,Rgh,Pas,Agr
Tommy Salo,AHC,G,31,5,5,5,1,4,4,0,1,0,0,4,4,4,4
Patrick Lalime,AHC,G,40,6,5,5,2,4,4,0,0,0,0,4,3,4,4
Evgeni Nabokov,AUT,G,20,7,5,4,0,4,6,0,1,0,0,5,5,5,5
Robert Esche,AUT,G,42,9,2,2,4,3,3,0,0,0,0,3,3,3,3
Jose Theodore,BAY,G,60,5,6,6,4,5,5,0,0,0,0,6,6,6,6
Ray Emery,BAY,G,1,7,4,5,0,2,2,0,1,0,0,4,3,3,4
Dan Cloutier,DIN,G,39,7,5,5,4,4,4,0,0,0,0,4,3,4,3
Garth Snow,DIN,G,30,8,4,4,4,4,4,0,0,0,0,3,4,3,3
Tomas Vokoun,HAM,G,29,6,5,5,2,4,5,0,0,0,0,5,5,5,5
Jason LaBarbera,HAM,G,40,11,5,4,1,2,2,0,1,0,0,4,3,3,4
Sean Burke,HIG,G,35,9,4,3,4,5,4,0,1,0,0,5,5,4,5
Dan Ellis,HIG,G,1,5,3,4,0,2,2,0,1,0,0,4,3,3,4
Rick DiPietro,HOT,G,35,8,4,4,2,3,4,0,0,0,0,4,5,5,4
Jean-Sebastien Aubin,HOT,G,30,5,4,4,4,3,4,0,0,0,0,3,3,3,3
Miikka Kiprusoff,IFV,G,37,7,4,3,0,3,3,0,0,0,0,3,2,3,3
Mike Dunham,IFV,G,1,6,4,4,3,3,4,0,1,0,0,4,4,4,4
Felix Potvin,ITA,G,39,6,5,5,2,4,4,0,0,0,0,4,4,4,4
Marty Turco,ITA,G,30,5,4,5,1,5,4,0,1,0,0,4,4,4,4
Roberto Luongo,KVK,G,1,7,4,4,0,5,6,0,1,0,0,5,5,6,6
Kevin Weekes,KVK,G,80,7,4,3,3,3,4,0,1,0,0,4,4,4,4
Roman Turek,MHA,G,1,10,5,4,4,4,5,0,0,0,0,3,3,4,4
Marc Denis,MHA,G,30,6,5,3,2,2,5,0,1,0,0,4,4,4,4
Pascal Leclaire,MHT,G,31,7,6,5,0,2,2,0,1,0,0,4,3,3,4
Craig Anderson,MHT,G,31,5,5,4,0,1,3,0,1,0,0,4,3,3,4
Marc-Andre Fleury,MGG,G,32,4,6,5,3,3,3,0,0,0,0,4,4,4,4
John Grahame,MGG,G,47,10,3,3,0,4,2,0,0,0,0,2,2,2,5
Martin Brodeur,NBK,G,30,9,5,5,3,6,6,0,0,0,0,6,6,5,5
Tommy Salo,NBK,G,29,5,5,5,1,4,4,0,1,0,0,4,4,4,4
Dominik Hasek,OCW,G,39,3,6,5,4,5,5,0,0,0,0,5,5,5,5
Kari Lehtonen,OCW,G,1,6,6,5,3,3,3,0,0,0,0,3,4,4,3
Olaf Kolzig,PNS,G,37,11,5,5,3,4,4,0,0,0,0,5,5,4,4
Curtis Sanford,PNS,G,1,5,2,2,2,2,2,0,0,0,0,3,3,3,3
Dwayne Roloson,PIT,G,29,7,4,6,3,3,5,0,0,0,0,5,4,5,5
Ilya Bryzgalov,PIT,G,30,8,6,4,0,2,2,0,1,0,0,4,3,3,4
Tim Thomas,PRO,G,1,7,4,3,1,4,5,0,1,0,0,5,5,5,5
Johan Hedberg,PRO,G,70,6,3,3,4,2,2,0,0,0,0,4,4,4,4
Manny Legace,REN,G,34,8,3,3,0,4,5,0,1,0,0,4,5,5,4
Cristobal Huet,REN,G,35,8,4,4,0,3,3,0,1,0,0,3,4,4,3
Nikolai Khabibulin,RIC,G,35,7,5,5,2,5,5,0,1,0,0,5,5,6,6
Ty Conklin,RIC,G,33,5,5,3,0,3,4,0,1,0,0,4,4,4,4
Manny Fernandez,ROM,G,35,8,3,3,2,3,3,0,0,0,0,2,2,2,3
Jussi Markkanen,ROM,G,30,6,5,5,3,4,4,0,1,0,0,4,5,4,4
Curtis Joseph,SAG,G,31,6,6,5,6,5,4,0,0,0,0,5,4,5,4
Chris Mason,SAG,G,35,6,5,3,0,4,6,0,1,0,0,5,5,5,5
Chris Osgood,SDM,G,29,4,4,5,2,4,5,0,0,0,0,5,5,5,5
Ryan Miller,SDM,G,30,3,6,4,0,2,2,0,1,0,0,4,3,3,4
Mike Richter,SOV,G,35,6,5,5,0,4,4,0,0,0,0,4,4,4,4
David Aebischer,SOV,G,1,7,5,5,1,2,3,0,0,0,0,2,1,3,3
Jean-Sebastien Giguere,SVF,G,35,7,5,5,4,5,4,0,1,0,0,5,5,4,5
Martin Gerber,SVF,G,30,7,4,3,0,4,5,0,1,0,0,4,5,5,4
Andrew Raycroft,SUM,G,1,5,4,4,2,5,6,0,1,0,0,6,5,5,6
Martin Biron,SUM,G,43,3,5,5,5,4,4,0,1,0,0,4,4,4,4
Ed Belfour,SUN,G,20,7,5,4,4,4,4,0,0,0,0,5,4,5,5
Craig Billington,SUN,G,1,4,4,4,1,4,2,0,0,0,0,2,2,3,3
Patrick Roy,TAI,G,33,6,5,4,4,5,5,0,0,0,0,5,4,5,4
Vesa Toskala,TAI,G,29,7,3,2,0,2,2,0,0,0,0,2,2,2,3
Jocelyn Thibault,TEG,G,41,4,5,5,2,4,4,0,1,0,0,4,4,4,4
Roman Cechmanek,TEG,G,30,6,4,4,5,4,4,0,0,0,0,5,5,4,4
Brian Boucher,TBP,G,33,6,4,5,3,4,4,0,1,0,0,4,4,4,5
Alex Auld,TBP,G,36,7,4,4,0,2,6,0,1,0,0,5,4,4,5
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
